PRON_SIL SIL
PRON_M_S M_S
PRON_N_B N_B
PRON_N_E N_E
PRON_N_I N_I
PRON_N_S N_S
PRON_NG_B NG_B
PRON_NG_E NG_E
PRON_NG_I NG_I
PRON_NG_S NG_S
PRON_OW_B OW_B
PRON_OW_E OW_E
PRON_OW_I OW_I
PRON_OW_S OW_S
PRON_OW0_B OW0_B
PRON_OW0_E OW0_E
PRON_OW0_I OW0_I
PRON_OW0_S OW0_S
PRON_OW1_B OW1_B
PRON_OW1_E OW1_E
PRON_OW1_I OW1_I
PRON_OW1_S OW1_S
PRON_OW2_B OW2_B
PRON_OW2_E OW2_E
PRON_OW2_I OW2_I
PRON_OW2_S OW2_S
PRON_OY_B OY_B
PRON_OY_E OY_E
PRON_OY_I OY_I
PRON_OY_S OY_S
PRON_OY0_B OY0_B
PRON_OY0_E OY0_E
PRON_OY0_I OY0_I
PRON_OY0_S OY0_S
PRON_OY1_B OY1_B
PRON_OY1_E OY1_E
PRON_OY1_I OY1_I
PRON_OY1_S OY1_S
PRON_OY2_B OY2_B
PRON_OY2_E OY2_E
PRON_OY2_I OY2_I
PRON_OY2_S OY2_S
PRON_P_B P_B
PRON_P_E P_E
PRON_P_I P_I
PRON_P_S P_S
PRON_R_B R_B
PRON_R_E R_E
PRON_R_I R_I
PRON_R_S R_S
PRON_S_B S_B
PRON_S_E S_E
PRON_S_I S_I
PRON_S_S S_S
PRON_SH_B SH_B
PRON_SH_E SH_E
PRON_SH_I SH_I
PRON_SH_S SH_S
PRON_T_B T_B
PRON_T_E T_E
PRON_T_I T_I
PRON_T_S T_S
PRON_TH_B TH_B
PRON_TH_E TH_E
PRON_TH_I TH_I
PRON_TH_S TH_S
PRON_UH_B UH_B
PRON_UH_E UH_E
PRON_UH_I UH_I
PRON_UH_S UH_S
PRON_UH0_B UH0_B
PRON_UH0_E UH0_E
PRON_UH0_I UH0_I
PRON_UH0_S UH0_S
PRON_UH1_B UH1_B
PRON_UH1_E UH1_E
PRON_UH1_I UH1_I
PRON_UH1_S UH1_S
PRON_UH2_B UH2_B
PRON_UH2_E UH2_E
PRON_UH2_I UH2_I
PRON_UH2_S UH2_S
PRON_UW_B UW_B
